	HIgA	HFIgA	LIgA	taxonomy
Otu0859	0	0	1	Proteobacteria
Otu0048	37	19	7	Firmicutes
Otu0029	90	290	95	Spirochaetes
Otu0028	19299	33896	21222	Actinobacteria
Otu0027	14784	15973	13084	Proteobacteria
Otu0026	92	303	188	Firmicutes
Otu0025	1565	5158	5124	Bacteroidetes
Otu0024	215	1175	110	Tenericutes
Otu0023	9740	22536	4263	Bacteroidetes
Otu0022	21122	24684	33963	Firmicutes
Otu0021	12376	19050	19096	Bacteroidetes
Otu0020	14787	17743	7554	Firmicutes
Otu0188	53	156	84	Tenericutes
Otu0189	1227	694	1154	Firmicutes
Otu0180	405	697	1200	Firmicutes
Otu0181	0	0	2	Bacteroidetes
Otu0182	5	0	192	Cyanobacteria
Otu0183	1310	1478	520	Firmicutes
Otu0184	0	48	45	Tenericutes
Otu0185	125	770	266	Firmicutes
Otu0186	9	22	11	Actinobacteria
Otu0187	25	128	73	Firmicutes
Otu0918	3	7	18	Firmicutes
Otu0825	46	43	81	Firmicutes
Otu0962	0	0	0	Proteobacteria
Otu0922	1	0	0	Firmicutes
Otu0888	1	0	1	Firmicutes
Otu0949	2	3	5	Firmicutes
Otu0232	0	0	7	Bacteroidetes
Otu0233	35	107	133	Firmicutes
Otu0230	70	71	46	Tenericutes
Otu0231	1	3	2	Actinobacteria
Otu0236	26	45	145	Firmicutes
Otu0237	661	487	472	Firmicutes
Otu0234	293	295	657	Bacteroidetes
Otu0235	84	280	206	Firmicutes
Otu0238	0	0	129	Firmicutes
Otu0239	357	617	630	Firmicutes
Otu0845	191	368	344	Firmicutes
Otu0844	0	0	0	Firmicutes
Otu0339	13	32	18	Bacteroidetes
Otu0338	11	97	8	Firmicutes
Otu0841	0	2	1	Firmicutes
Otu0840	0	24	2	Tenericutes
Otu0842	0	1	0	Tenericutes
Otu0333	0	0	0	Firmicutes
Otu0331	1217	1148	986	Firmicutes
Otu0330	24	23	25	Tenericutes
Otu0337	2	8	6	Bacteroidetes
Otu0336	70	157	68	Proteobacteria
Otu0335	132	213	91	Proteobacteria
Otu0334	4	11	5	Firmicutes
Otu0687	67	52	40	Bacteroidetes
Otu0686	1	2	3	Firmicutes
Otu0685	0	2	1	Firmicutes
Otu0684	4	23	15	Firmicutes
Otu0683	93	245	316	Firmicutes
Otu0682	1	6	0	Firmicutes
Otu0681	0	2	1	Firmicutes
Otu0680	2	1	1	Actinobacteria
Otu0966	559	487	349	Firmicutes
Otu0967	5	12	12	Firmicutes
Otu0964	25	138	107	Firmicutes
Otu0965	3	2	6	Firmicutes
Otu0916	2	0	0	Firmicutes
Otu0928	1	1	2	Firmicutes
Otu0689	5	9	11	Firmicutes
Otu0688	0	0	0	Firmicutes
Otu0929	5	9	6	Firmicutes
Otu0378	8	0	6	Firmicutes
Otu0399	69	131	70	Firmicutes
Otu0856	4	3	1	Firmicutes
Otu0398	163	298	256	Firmicutes
Otu0247	0	0	0	Firmicutes
Otu0246	102	152	192	Tenericutes
Otu0245	57	28	163	Firmicutes
Otu0244	58	259	52	Firmicutes
Otu0243	59	159	37	Bacteroidetes
Otu0242	112	127	102	Firmicutes
Otu0240	100	296	509	Firmicutes
Otu0526	9	45	12	Proteobacteria
Otu0527	30	22	65	Proteobacteria
Otu0524	0	0	167	Firmicutes
Otu0525	19	21	25	Firmicutes
Otu0522	0	0	1	Firmicutes
Otu0523	1038	457	375	Firmicutes
Otu0248	5	8	6	Firmicutes
Otu0423	29	22	29	Firmicutes
Otu0422	0	0	7	Firmicutes
Otu0421	13	4	48	Actinobacteria
Otu0420	46	214	227	Firmicutes
Otu0427	20	19	348	Bacteroidetes
Otu0393	1	1	2	Bacteroidetes
Otu0425	94	278	101	Firmicutes
Otu0424	25	30	70	Firmicutes
Otu0742	0	1	0	Lentisphaerae
Otu0743	6	11	30	Firmicutes
Otu0429	2	5	0	Bacteroidetes
Otu0392	1	0	10	Firmicutes
Otu0746	0	0	0	Actinobacteria
Otu0747	0	0	0	Firmicutes
Otu0744	0	0	0	Proteobacteria
Otu0745	3	22	24	Firmicutes
Otu0917	59	90	79	Firmicutes
Otu0948	38	29	25	Firmicutes
Otu0063	0	9	0	Firmicutes
Otu0062	2	11	19	Firmicutes
Otu0061	1	3	4	Verrucomicrobia
Otu0060	0	1	0	Bacteroidetes
Otu0067	176	185	337	Firmicutes
Otu0066	1151	4473	2032	Firmicutes
Otu0065	357	24	99	Firmicutes
Otu0064	28	97	60	Bacteroidetes
Otu0382	3561	5406	5005	Firmicutes
Otu0383	2607	3109	738	Firmicutes
Otu0069	4873	2887	2429	Proteobacteria
Otu0068	167	779	209	Firmicutes
Otu0386	222	258	305	Firmicutes
Otu0387	38	17	7	Proteobacteria
Otu0384	73	394	234	Firmicutes
Otu0385	7232	9520	6292	Firmicutes
Otu0636	167	161	136	Firmicutes
Otu0637	7	2	6	Firmicutes
Otu0634	177	184	123	Firmicutes
Otu0635	36	52	58	Proteobacteria
Otu0148	34	50	47	Firmicutes
Otu0149	3	0	4	Firmicutes
Otu0631	7	19	9	Tenericutes
Otu0144	0	0	0	Firmicutes
Otu0145	16	599	661	Bacteroidetes
Otu0146	775	994	1043	Proteobacteria
Otu0147	2	0	2	Firmicutes
Otu0140	17	52	20	Proteobacteria
Otu0141	656	1368	584	Firmicutes
Otu0142	32	191	207	Firmicutes
