	LRFI	HRFI	FMT	taxonomy
Otu0859	2	6	0	Proteobacteria
Otu0048	611	796	3078	Firmicutes
Otu0029	1454	2384	3185	Spirochaetes
Otu0028	18946	9471	20146	Actinobacteria
Otu0027	4733	4398	5272	Proteobacteria
Otu0026	290	1230	4400	Firmicutes
Otu0025	7527	5767	6504	Bacteroidetes
Otu0024	417	783	4199	Tenericutes
Otu0023	5149	7419	7110	Bacteroidetes
Otu0022	25166	19376	16463	Firmicutes
Otu0021	23078	17182	8817	Bacteroidetes
Otu0020	3480	6895	7402	Firmicutes
Otu0188	1063	514	525	Tenericutes
Otu0189	1143	1654	967	Firmicutes
Otu0180	2022	1702	2217	Firmicutes
Otu0181	422	39	0	Bacteroidetes
Otu0182	348	119	8	Cyanobacteria
Otu0183	998	1339	966	Firmicutes
Otu0184	404	12	230	Tenericutes
Otu0185	1393	902	1032	Firmicutes
Otu0186	27	91	671	Actinobacteria
Otu0187	362	470	502	Firmicutes
Otu0918	5	15	5	Firmicutes
Otu0825	211	99	73	Firmicutes
Otu0962	0	0	0	Proteobacteria
Otu0922	3	1	0	Firmicutes
Otu0888	0	4	0	Firmicutes
Otu0949	25	20	8	Firmicutes
Otu0232	189	0	0	Bacteroidetes
Otu0233	445	480	263	Firmicutes
Otu0230	394	169	113	Tenericutes
Otu0231	57	213	99	Actinobacteria
Otu0236	1279	354	202	Firmicutes
Otu0237	234	188	227	Firmicutes
Otu0234	667	486	581	Bacteroidetes
Otu0235	1298	1087	1172	Firmicutes
Otu0238	13	0	0	Firmicutes
Otu0239	776	278	451	Firmicutes
Otu0845	861	902	741	Firmicutes
Otu0844	7	17	5	Firmicutes
Otu0339	259	223	227	Bacteroidetes
Otu0338	19	23	38	Firmicutes
Otu0841	16	3	10	Firmicutes
Otu0840	20	15	57	Tenericutes
Otu0842	11	3	6	Tenericutes
Otu0333	669	262	804	Firmicutes
Otu0331	159	60	71	Firmicutes
Otu0330	486	368	443	Tenericutes
Otu0337	306	514	436	Bacteroidetes
Otu0336	398	442	134	Proteobacteria
Otu0335	301	437	178	Proteobacteria
Otu0334	5	10	92	Firmicutes
Otu0687	41	25	15	Bacteroidetes
Otu0686	15	9	19	Firmicutes
Otu0685	371	146	182	Firmicutes
Otu0684	0	11	28	Firmicutes
Otu0683	49	30	55	Firmicutes
Otu0682	2	6	19	Firmicutes
Otu0681	346	315	189	Firmicutes
Otu0680	19	5	35	Actinobacteria
Otu0966	247	134	170	Firmicutes
Otu0967	13	3	11	Firmicutes
Otu0964	1	1	0	Firmicutes
Otu0965	5	6	2	Firmicutes
Otu0916	25	24	14	Firmicutes
Otu0928	0	0	3	Firmicutes
Otu0689	98	34	30	Firmicutes
Otu0688	44	55	20	Firmicutes
Otu0929	121	127	157	Firmicutes
Otu0378	105	206	114	Firmicutes
Otu0399	384	301	205	Firmicutes
Otu0856	0	0	0	Firmicutes
Otu0398	55	13	33	Firmicutes
Otu0247	122	37	22	Firmicutes
Otu0246	332	249	553	Tenericutes
Otu0245	153	390	213	Firmicutes
Otu0244	809	950	391	Firmicutes
Otu0243	372	232	182	Bacteroidetes
Otu0242	417	498	847	Firmicutes
